n,success on first try?,dx,dy,block x,block y,gripped?,block collision?
1,1,-0.014,0.013,0.955,0.871,1,0
2,1,0.009,-0.007,0.944,-0.206,1,0
3,0,,,-0.359,1.2,1,0
4,0,,,-1.244,0.368,1,0
5,1,0.032,0.001,0.35,-1.35,1,0
6,0,,,-0.453,0.941,1,0
7,1,-0.033,-0.032,0.421,1.185,1,0
8,0,,,-0.464,1.464,1,0
9,1,-0.053,0.006,0.65,-1.376,1,0
10,0,,,-1.006,-0.805,1,0
11,0,,,-0.535,-0.176,1,0
12,0,,,-1.076,0.676,1,0
13,0,,,-0.759,-1.321,0,0
14,0,,,-0.771,-0.244,1,0
15,0,,,-0.897,-0.27,1,0
16,1,0.044,0.01,0.529,1.57,1,0
17,1,-0.038,-0.002,0.911,0.838,1,0
18,0,,,-1.15,-0.288,1,0
19,0,,,-1.079,0.459,1,0
20,1,-0.015,0.024,-0.618,-0.574,1,0